Protocol,Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e),,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2018,2330,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2019,2294,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2008,1,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2009,4,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2010,4,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2011,14,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2012,6,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2013,11,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2014,6,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Diesel,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2008,114,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2009,103,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2010,103,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2011,104,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2012,76,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2013,66,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2014,69,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Vehicles,Gasoline,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2005,151,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2006,124,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2007,187,,,,,,,,,
