Protocol,Sector,Source,Year(Calendar Year), GHG Emissions(mt CO2e) ,,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2016,"533,101",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2017,"558,681",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2018,"625,848",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2019,"601,626",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2005,"37,574",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2006,"27,110",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2007,"24,500",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2008,"22,764",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2009,"21,020",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2010,"16,337",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2011,"22,107",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2012,"16,616",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2013,"11,753",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2014,"12,909",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2015,"6,497",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2016,"8,149",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2017,"4,867",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2018,"6,624",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2019,"4,774",,,,,,,,
